hotel,arrival_date,total_reservations,canceled_reservations,cancellation_rate
"Resort Hotel",2016-08-16,62,25,40.3226
"Resort Hotel",2016-08-17,45,18,40.0000
"Resort Hotel",2016-08-18,64,23,35.9375
"Resort Hotel",2016-08-19,39,9,23.0769
"Resort Hotel",2016-08-20,67,25,37.3134
"Resort Hotel",2016-08-21,40,10,25.0000
"Resort Hotel",2016-08-22,72,23,31.9444
"Resort Hotel",2016-08-23,38,10,26.3158
"Resort Hotel",2016-08-24,37,14,37.8378
"Resort Hotel",2016-08-25,47,19,40.4255
"Resort Hotel",2016-08-26,63,24,38.0952
"Resort Hotel",2016-08-27,64,18,28.1250
"Resort Hotel",2016-08-28,50,16,32.0000
"Resort Hotel",2016-08-29,62,19,30.6452
"Resort Hotel",2016-08-30,43,13,30.2326
"Resort Hotel",2016-08-31,37,7,18.9189
"Resort Hotel",2016-09-01,67,23,34.3284
"Resort Hotel",2016-09-02,56,20,35.7143
"Resort Hotel",2016-09-03,45,8,17.7778
"Resort Hotel",2016-09-04,40,14,35.0000
"Resort Hotel",2016-09-05,55,12,21.8182
"Resort Hotel",2016-09-06,24,5,20.8333
"Resort Hotel",2016-09-07,69,57,82.6087
"Resort Hotel",2016-09-08,32,12,37.5000
"Resort Hotel",2016-09-09,49,10,20.4082
"Resort Hotel",2016-09-10,48,11,22.9167
"Resort Hotel",2016-09-11,58,25,43.1034
"Resort Hotel",2016-09-12,52,13,25.0000
"Resort Hotel",2016-09-13,35,5,14.2857
"Resort Hotel",2016-09-14,41,6,14.6341
"Resort Hotel",2016-09-15,84,5,5.9524
"Resort Hotel",2016-09-16,29,9,31.0345
"Resort Hotel",2016-09-17,27,4,14.8148
"Resort Hotel",2016-09-18,71,11,15.4930
"Resort Hotel",2016-09-19,76,24,31.5789
"Resort Hotel",2016-09-20,66,15,22.7273
"Resort Hotel",2016-09-21,77,35,45.4545
"Resort Hotel",2016-09-22,32,11,34.3750
"Resort Hotel",2016-09-23,44,18,40.9091
"Resort Hotel",2016-09-24,40,15,37.5000
"Resort Hotel",2016-09-25,40,9,22.5000
"Resort Hotel",2016-09-26,96,29,30.2083
"Resort Hotel",2016-09-27,35,6,17.1429
"Resort Hotel",2016-09-28,33,10,30.3030
"Resort Hotel",2016-09-29,44,4,9.0909
"Resort Hotel",2016-09-30,58,29,50.0000
"Resort Hotel",2016-10-01,45,25,55.5556
"Resort Hotel",2016-10-02,39,6,15.3846
"Resort Hotel",2016-10-03,50,13,26.0000
"Resort Hotel",2016-10-04,41,7,17.0732
"Resort Hotel",2016-10-05,49,11,22.4490
"Resort Hotel",2016-10-06,125,32,25.6000
"Resort Hotel",2016-10-07,26,8,30.7692
"Resort Hotel",2016-10-08,70,41,58.5714
"Resort Hotel",2016-10-09,115,39,33.9130
"Resort Hotel",2016-10-10,41,3,7.3171
"Resort Hotel",2016-10-11,72,7,9.7222
"Resort Hotel",2016-10-12,100,7,7.0000
"Resort Hotel",2016-10-13,22,2,9.0909
"Resort Hotel",2016-10-14,25,3,12.0000
"Resort Hotel",2016-10-15,36,24,66.6667
"Resort Hotel",2016-10-16,92,31,33.6957
"Resort Hotel",2016-10-17,56,19,33.9286
"Resort Hotel",2016-10-18,76,21,27.6316
"Resort Hotel",2016-10-19,53,12,22.6415
